Cut Code,Period,Phase,Bench,Mat Group,Mat Type,Tonnes,Dens(t/m3)
F40-3288,18M10,40,3288,oarlg,ore,2016,2.5
F40-3288,18M10,40,3288,wnag,waste,1008,2.5
F40-3288,18M10,40,3288,oarhg,ore,2016,2.5
F40-3288,18M10,40,3288,oarhg,ore,4032,2.5
F40-3288,18M10,40,3288,oarlg,ore,1008,2.5
F40-3288,18M10,40,3288,oarmg,ore,2016,2.5
F40-3288,18M10,40,3288,oarlg,ore,4032,2.5
F40-3288,18M10,40,3288,oarmg,ore,3024,2.5
F40-3288,18M10,40,3288,oarlg,ore,6048,2.5
F40-3288,18M10,40,3288,oarmg,ore,2016,2.5
F40-3288,18M10,40,3288,oarlg,ore,6048,2.5
F40-3288,18M10,40,3288,sarst,ore,2016,2.5
F40-3288,18M10,40,3288,oarlg,ore,7056,2.5
F40-3288,18M10,40,3288,oarmg,ore,1008,2.5
F40-3288,18M10,40,3288,oarlg,ore,3024,2.5
F40-3288,18M10,40,3288,sarst,ore,1008,2.5
F40-3288,18M10,40,3288,oarlg,ore,7056,2.5
F40-3288,18M10,40,3288,sarst,ore,1008,2.5
F40-3288,18M10,40,3288,oarhg,ore,1008,2.5
F40-3288,18M10,40,3288,oarmg,ore,1008,2.5
F40-3288,18M10,40,3288,oarhg,ore,1008,2.5
F40-3288,18M10,40,3288,oarlg,ore,3024,2.5
F40-3288,18M10,40,3288,oarmg,ore,4032,2.5
F40-3288,18M10,40,3288,oarlg,ore,2016,2.5
F40-3288,18M10,40,3288,oarmg,ore,6048,2.5
F40-3288,18M10,40,3288,oarlg,ore,7056,2.5
F40-3288,18M10,40,3288,sarst,ore,1008,2.5
F40-3288,18M10,40,3288,oarlg,ore,8064,2.5
F40-3288,18M10,40,3288,oarlg,ore,1008,2.5
F40-3288,18M10,40,3288,oarmg,ore,1008,2.5
F40-3288,18M10,40,3288,oarhg,ore,1008,2.5
F40-3288,18M10,40,3288,oarlg,ore,5040,2.5
F40-3288,18M10,40,3288,oarmg,ore,2016,2.5
F40-3288,18M10,40,3288,oarhg,ore,2016,2.5
