PERFORADORA,DIA,TALADRO,DUREZA . MPA
Perforadora05,26 - 01 - 2023,TALADRO-02,107.935
Perforadora05,26 - 01 - 2023,TALADRO-03,77.592
Perforadora05,26 - 01 - 2023,TALADRO-04,107.531
Perforadora05,26 - 01 - 2023,TALADRO-05,79.915
Perforadora05,26 - 01 - 2023,TALADRO-06,57.035
Perforadora05,26 - 01 - 2023,TALADRO-07,89.811
Perforadora05,26 - 01 - 2023,TALADRO-08,71.081
Perforadora05,26 - 01 - 2023,TALADRO-09,60.883
Perforadora05,26 - 01 - 2023,TALADRO-010,67.14
Perforadora05,26 - 01 - 2023,TALADRO-011,101.616
Perforadora05,26 - 01 - 2023,TALADRO-012,61.656
Perforadora05,26 - 01 - 2023,TALADRO-013,96.184
Perforadora05,26 - 01 - 2023,TALADRO-014,41.929
Perforadora05,26 - 01 - 2023,TALADRO-015,65.05
Perforadora05,26 - 01 - 2023,TALADRO-016,53.35
Perforadora05,26 - 01 - 2023,TALADRO-017,51.417
Perforadora05,26 - 01 - 2023,TALADRO-018,66.512
Perforadora05,26 - 01 - 2023,TALADRO-019,86.062
Perforadora05,26 - 01 - 2023,TALADRO-020,62.717
Perforadora05,26 - 01 - 2023,TALADRO-021,100.664
Perforadora05,26 - 01 - 2023,TALADRO-022,72.353
Perforadora05,26 - 01 - 2023,TALADRO-023,58.083
Perforadora05,26 - 01 - 2023,TALADRO-024,46.737
Perforadora05,26 - 01 - 2023,TALADRO-025,47.653
Perforadora05,26 - 01 - 2023,TALADRO-026,136.739
Perforadora05,26 - 01 - 2023,TALADRO-027,49.715
Perforadora05,26 - 01 - 2023,TALADRO-028,98.233
Perforadora05,26 - 01 - 2023,TALADRO-029,68.705
Perforadora05,26 - 01 - 2023,TALADRO-030,54.029
Perforadora05,26 - 01 - 2023,TALADRO-031,63.866
Perforadora05,26 - 01 - 2023,TALADRO-032,29.779
Perforadora05,26 - 01 - 2023,TALADRO-033,64.444
Perforadora05,26 - 01 - 2023,TALADRO-034,84.224
Perforadora05,26 - 01 - 2023,TALADRO-035,84.996
Perforadora05,26 - 01 - 2023,TALADRO-036,37.797
Perforadora05,26 - 01 - 2023,TALADRO-037,80.308
Perforadora05,25 - 01 - 2023,TALADRO-038,76.295
Perforadora05,25 - 01 - 2023,TALADRO-039,69.918
Perforadora05,25 - 01 - 2023,TALADRO-040,43.414
Perforadora05,25 - 01 - 2023,TALADRO-041,67.878
Perforadora05,25 - 01 - 2023,TALADRO-042,78.62
Perforadora05,27 - 01 - 2023,TALADRO-043,61.831
Perforadora05,27 - 01 - 2023,TALADRO-044,58.356
Perforadora05,27 - 01 - 2023,TALADRO-045,65.01
Perforadora05,27 - 01 - 2023,TALADRO-046,76.164
Perforadora05,27 - 01 - 2023,TALADRO-047,107.096
Perforadora05,27 - 01 - 2023,TALADRO-048,86.044
Perforadora05,27 - 01 - 2023,TALADRO-049,98.771
Perforadora05,27 - 01 - 2023,TALADRO-050,57.845
Perforadora05,27 - 01 - 2023,TALADRO-051,34.65
Perforadora05,27 - 01 - 2023,TALADRO-052,38.33
Perforadora05,27 - 01 - 2023,TALADRO-053,76.351
Perforadora05,27 - 01 - 2023,TALADRO-054,60.292
Perforadora05,27 - 01 - 2023,TALADRO-055,75.119
Perforadora05,27 - 01 - 2023,TALADRO-056,72.749
Perforadora05,27 - 01 - 2023,TALADRO-057,47.877
Perforadora05,27 - 01 - 2023,TALADRO-058,76.136
Perforadora05,27 - 01 - 2023,TALADRO-059,48.029
Perforadora05,27 - 01 - 2023,TALADRO-060,47.821
Perforadora05,27 - 01 - 2023,TALADRO-061,54.076
Perforadora05,27 - 01 - 2023,TALADRO-062,61.736
Perforadora05,27 - 01 - 2023,TALADRO-063,73.052
Perforadora05,27 - 01 - 2023,TALADRO-064,61.603
Perforadora05,27 - 01 - 2023,TALADRO-065,79.436
Perforadora05,27 - 01 - 2023,TALADRO-066,58.765
Perforadora05,27 - 01 - 2023,TALADRO-067,60.918
Perforadora05,27 - 01 - 2023,TALADRO-068,34.449
Perforadora05,27 - 01 - 2023,TALADRO-069,53.933
